Aractip,Marka,Model,Arac Kayit Tip,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Total
ROMÖRK,-----,TENTELİ KAPALI,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
ROMÖRK,-----,ASFALT TANKERİ,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
TRAKTÖR,-----,TRAKTÖR,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
MOTORLU TR (ATV),-----,ATV HS 450,Kullanılmış,0,0,1,0,0,0,0,0,0,0,0,0,1
ROMÖRK,-----,ERH10,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
SALON ARAÇ,-----,60 V,Kullanılmış,0,0,0,1,0,0,0,0,0,0,0,0,1
SALON ARAÇ,ABARTH,595 TURISMO S-A,Kullanılmış,0,0,0,0,1,0,0,0,0,0,0,0,1
SALON ARAÇ,ABARTH,124SPIDER MULTIAIR AUTO,Kullanılmış,0,0,0,0,0,0,0,0,0,0,1,0,1
SALON ARAÇ,ALFA,ROMEO,Kullanılmış,0,0,0,0,0,0,0,0,0,1,0,0,1
ROMÖRK,ALPASLAN,KATRAN TANKERİ,Kullanılmış,0,0,0,2,0,0,0,0,0,0,0,0,2
TRAKTÖR,ARMATRAC,1104,Kullanılmış,0,0,0,0,0,0,0,0,1,0,0,0,1
SALON ARAÇ,ASTON MARTIN,SUPERLEGGERA,Kullanılmış,0,0,0,0,0,0,0,1,0,0,0,0,1
SALON ARAÇ,AUDI,A5,Kullanılmış,3,0,2,1,5,0,1,1,0,1,3,1,18
SALON ARAÇ,AUDI,TT,Kullanılmış,1,0,0,0,0,0,1,0,0,1,0,0,3
SALON ARAÇ,AUDI,A3,Kullanılmış,3,3,12,3,7,3,3,9,10,6,5,1,65
SALON ARAÇ,AUDI,S7,Kullanılmış,1,0,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,AUDI,A4,Kullanılmış,1,0,4,0,5,2,2,2,2,0,1,1,20
