Aractip,Marka,Model,Arac Kayit Tip,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Total
TRAKTÖR,ARMATRAC,614 T2,Yeni,0,0,2,0,0,0,0,0,1,0,0,0,3
TRAKTÖR,ARMATRAC,1104,Yeni,0,0,1,0,0,0,0,0,0,0,3,0,4
TRAKTÖR,ARMATRAC,KUDRET 105,Yeni,0,0,0,1,0,0,0,0,1,0,1,0,3
TRAKTÖR,ARMATRAC,752 E,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1
SALON ARAÇ,AUDI,A5,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1
SALON ARAÇ,AUDI,A4,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1
ESTATE,BMW,X1,Yeni,1,1,0,2,4,2,1,5,6,4,4,1,31
SALON ARAÇ,BMW,2-SERİES,Yeni,1,0,0,0,0,0,1,0,1,0,0,0,3
SALON ARAÇ,BMW,1-SERİES,Yeni,1,0,1,1,1,1,0,1,0,1,1,1,9
ESTATE,BMW,X5,Yeni,1,0,0,1,1,1,0,0,1,2,0,0,7
ESTATE,BMW,X2,Yeni,1,0,0,0,1,2,1,2,1,3,0,1,12
SALON ARAÇ,BMW,4-SERİES,Yeni,0,1,0,0,0,0,0,2,0,3,1,1,8
ESTATE,BMW,X6,Yeni,0,1,0,0,2,0,0,1,0,0,0,0,4
SALON ARAÇ,BMW,3-SERİES,Yeni,0,0,0,1,2,0,0,0,1,1,0,0,5
ESTATE,BMW,X4,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1
ESTATE,BMW,X3,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1
SALON ARAÇ,BMW,5-SERİES,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1
ESTATE,BMW,X7,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1
ESTATE,BMW,X6,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1
SALON ARAÇ,BMW,8-SERİES,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1
SALON ARAÇ,BMW,Z-SERİES,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1
SALON ARAÇ,BMW,7-SERİES,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1
SALON ARAÇ,BMW,X2,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1
MOTORLU TR (ATV),CAN-AM,OUTLANDER,Yeni,1,1,0,1,3,0,0,1,2,2,1,0,12
MOTORLU TR (ATV),CAN-AM,SSV MAV,Yeni,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORLU TR (ATV),CAN-AM,MAVERIC X3 UTV,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1
