Aractip,Marka,Model,Arac Kayit Tip,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Total,
MOTOSİKLET,APRILIA,TUONA 660,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
TRAKTÖR,ARMATRAC,614 T2,Yeni,1,0,0,0,1,0,0,0,0,0,0,0,2,
TRAKTÖR,ARMATRAC,584 E,Yeni,0,0,1,0,0,0,0,0,0,0,0,0,1,
TRAKTÖR,ARMATRAC,1304,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
TRAKTÖR,ARMATRAC,854 E,Yeni,0,0,0,1,1,0,0,0,0,0,0,0,2,
TRAKTÖR,ARMATRAC,110,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
TRAKTÖR,ARMATRAC,1054 E+4X4 KABİNLİ KLİMALI,Yeni,0,0,0,0,0,0,0,0,0,0,1,1,2,
TRAKTÖR,ARMATRAC,752E W/PLALFORMLU,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
TRAKTÖR,ARMATRAC,1104 LUX KABİN +KLİMA,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
MOTORLU TR (ATV),ARORA -,HUNTER300,Yeni,0,0,0,0,0,0,0,0,2,1,0,0,3,
Motobisiklet,ARORA -,CAPPUCCINO,Yeni,0,0,0,0,0,0,0,0,2,0,0,0,2,
Motobisiklet,ARORA -,DAZZLE,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
MOTOSİKLET,ARORA -,CAPPUCCINO,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,BAJAJ,DOMİNAR D 250,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
ESTATE,BMW,X1,Yeni,4,2,2,3,8,5,1,3,3,0,0,0,31,
SALON ARAÇ,BMW,3-SERİES,Yeni,1,0,1,1,0,1,1,0,1,3,0,0,9,
ESTATE,BMW,X5,Yeni,2,2,0,0,1,0,1,1,2,1,1,1,12,
SALON ARAÇ,BMW,4-SERİES,Yeni,2,0,1,2,1,1,2,1,1,2,1,1,15,
ESTATE,BMW,X6,Yeni,1,0,0,0,0,0,1,0,1,2,1,0,6,
ESTATE,BMW,X2,Yeni,1,2,0,1,0,1,0,2,2,2,1,0,12,
SALON ARAÇ,BMW,1-SERİES,Yeni,1,1,0,0,2,2,2,0,0,0,0,1,9,
ESTATE,BMW,X7,Yeni,0,1,0,2,0,0,0,0,0,1,0,1,5,
SALON ARAÇ,BMW,2-SERİES,Yeni,0,1,0,1,0,0,1,0,0,0,0,0,3,
SALON ARAÇ,BMW,5-SERİES,Yeni,0,0,0,1,0,0,0,1,1,1,0,0,4,
ESTATE,BMW,X4,Yeni,0,0,0,0,0,1,0,0,0,0,1,0,2,
ESTATE,BMW,X3,Yeni,0,0,0,0,0,0,0,1,0,0,0,1,2,
ESTATE,BMW,İX,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
SALON ARAÇ,BMW,8-SERİES,Yeni,0,0,0,0,0,0,0,0,2,0,0,0,2,
SALON ARAÇ,BMW,7-SERİES,Yeni,0,0,0,0,0,0,0,0,3,0,0,0,3,
ESTATE,BMW,İX3,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
SALON ARAÇ,BMW,Z4,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
MOTOSİKLET,BULLET,125CC,Yeni,1,0,0,0,0,0,0,0,0,0,0,0,1,
ESTATE,CADILLAC,ESCALADE,Yeni,1,0,0,0,0,0,0,0,0,0,1,0,2,
MOTORLU TR (ATV),CAN-AM,UTV SSY MAV,Yeni,0,0,0,1,0,1,0,0,0,0,0,0,2,
MOTORLU TR (ATV),CAN-AM,RENEGADE,Yeni,0,0,0,1,0,1,0,0,0,0,0,0,2,
MOTORLU TR (ATV),CAN-AM,OUTL MAX,Yeni,0,0,0,0,0,0,0,0,0,0,2,0,2,
MOTOSİKLET,CF MOTO,CF700-2,Yeni,0,0,0,0,1,2,0,0,1,0,0,0,4,
MOTOSİKLET,CF MOTO,CF800-5,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
MOTOSİKLET,CF MOTO,CF300-BF,Yeni,0,0,0,0,0,1,0,1,1,0,2,0,5,
MOTOSİKLET,CF MOTO,CF650-8F,Yeni,0,0,0,0,0,0,1,0,0,1,0,0,2,
MOTORLU TR (ATV),CF MOTO,CF600AU-3LF,Yeni,0,0,0,0,0,0,0,0,0,1,2,0,3,
MOTORLU TR (ATV),CF MOTO,CF500AU9L,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
MOTORLU TR (ATV),CF MOTO,CF 500 AV,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTORLU TR (ATV),CF MOTO,CF1000AU-F,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
TRAKTÖR,DEUTZ,FARH,Yeni,1,1,0,0,0,0,0,1,2,0,2,0,7,
SALON ARAÇ,DFSK,GLORY 580,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
ÇİFT KABİN,DODGE,RAM TRX,Yeni,0,0,0,0,0,0,0,0,0,1,1,0,2,
MOTOSİKLET,DUCATI,X DIAVEL,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
MOTOSİKLET,DUCATI,DESERT X,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
SALON ARAÇ,FIAT,EGEA,Yeni,4,0,0,0,6,6,0,0,1,0,2,0,19,
KAMYONET,FIAT,FIORINO,Yeni,0,1,2,1,0,2,0,0,1,3,6,8,24,
KAMYONET,FIAT,DOBLO,Yeni,0,0,5,1,0,1,0,2,1,1,1,0,12,
PANELVAN,FIAT,DUCATO,Yeni,0,0,0,0,0,0,0,0,0,2,0,2,4,
SALON ARAÇ,FORD,FOCUS,Yeni,2,1,9,0,0,1,0,0,0,1,0,0,14,
ÇİFT KABİN,FORD,RANGER,Yeni,1,1,2,2,2,1,1,2,4,1,2,1,20,
KAMYONET,FORD,"T,COSTOM",Yeni,2,0,0,0,0,0,0,0,0,0,0,0,2,
PANELVAN,FORD,TOURNEO COURIER,Yeni,0,1,3,1,3,0,1,8,1,0,0,0,18,
ESTATE,FORD,CUSTOM,Yeni,0,0,1,0,0,0,0,1,0,0,0,0,2,
KAMYON,FORD,TRANSİT,Yeni,0,0,5,0,0,0,0,0,3,0,0,0,8,
KAMYONET,FORD,TRANSİT,Yeni,0,0,4,0,5,3,1,13,6,0,0,0,32,
KAMYONET,FORD,320 S,Yeni,0,0,0,0,1,0,0,0,0,1,2,0,4,
SALON ARAÇ,FORD,PUMA ST-LINE X,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
ESTATE,FORD,KUGA,Yeni,0,0,0,0,0,0,0,2,0,0,0,0,2,
ESTATE,FORD,300L TİT,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
PANELVAN,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,4,0,0,0,4,
SALON ARAÇ,FORD,ECOSPORT,Yeni,0,0,0,0,0,0,0,0,1,0,0,1,2,
OTOBÜS,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,5,0,0,0,5,
AMBULANS,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
ESTATE,FORD,TRANSİT,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
PANELVAN,FORD,350L VAN ECOBLUE,Yeni,0,0,0,0,0,0,0,0,0,0,1,2,3,
PANELVAN,FORD,40S ECOBLUE UPGRADE ZIRH,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
PANELVAN,FORD,340L,Yeni,0,0,0,0,0,0,0,0,0,0,1,2,3,
MOTOSİKLET,GASGAS,EC300,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
MOTOSİKLET,HARLEY DAVIDSON,FAT BOY 114,Yeni,0,0,1,0,1,0,0,0,0,0,0,0,2,
MOTOSİKLET,HARLEY DAVIDSON,SPORTSTER S,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,HARLEY DAVIDSON,PAN AMERICA,Yeni,0,0,0,1,0,0,1,0,0,0,0,0,2,
MOTOSİKLET,HARLEY DAVIDSON,ROAD KING SPECIAL,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
MOTOSİKLET,HARLEY DAVIDSON,STREET TRIUM,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
TRAKTÖR,HATTAT,240S,Yeni,0,0,0,0,2,1,0,1,0,0,0,0,4,
TRAKTÖR,HATTAT,260 GOLD,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
TRAKTÖR,HATTAT,280 GOLD,Yeni,0,0,0,0,0,1,0,0,1,0,0,0,2,
TRAKTÖR,HATTAT,398 KAB,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
TRAKTÖR,HATTAT,T4110,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
KAZICI-YÜKLEYİCİ,HİDROMEK,HMK 102B,Yeni,0,0,0,0,0,0,0,0,0,0,1,1,2,
